# unique_item_name_map.tsv - auto-generated by ggpk-tools/PoeDataExtract
# source: 4-way join Words + UniqueStashLayout + ItemVisualIdentity + BaseItemTypes (.datc64)
# columns: metadata_path	unique_name
# generated: 2026-07-08T22:58:29Z
Metadata/Items/Heist/HeistEquipmentUtilityTest	The Black Insignia
Metadata/Items/Heist/HeistEquipmentRewardTest	Dream Fragments
Metadata/Items/Weapons/OneHandWeapons/OneHandMaces/FourOneHandMace1	Brynhand's Mark
Metadata/Items/Weapons/OneHandWeapons/OneHandMaces/FourOneHandMace2	Wylund's Stake
Metadata/Items/Weapons/OneHandWeapons/OneHandMaces/FourOneHandMace3	Frostbreath
Metadata/Items/Weapons/OneHandWeapons/OneHandMaces/FourOneHandMace4	Trenchtimbre
Metadata/Items/Weapons/OneHandWeapons/OneHandMaces/FourOneHandMace5	Sculpted Suffering
Metadata/Items/Weapons/OneHandWeapons/OneHandMaces/FourOneHandMace6	Seeing Stars
Metadata/Items/Weapons/OneHandWeapons/OneHandMaces/FourOneHandMace7	Nebuloch
Metadata/Items/Weapons/OneHandWeapons/OneHandMaces/FourOneHandMace9	Brutus' Lead Sprinkler
Metadata/Items/Weapons/OneHandWeapons/OneHandMaces/FourOneHandMace13	Mjölner
Metadata/Items/Weapons/OneHandWeapons/OneHandMaces/FourOneHandMace13VerisiumUnique1	Mjölner
Metadata/Items/Weapons/OneHandWeapons/OneHandMaces/FourOneHandMace13VerisiumUnique2	Mjölner
Metadata/Items/Weapons/OneHandWeapons/OneHandMaces/FourOneHandMace13VerisiumUnique3	Mjölner
Metadata/Items/Weapons/OneHandWeapons/OneHandMaces/FourOneHandMace13VerisiumUnique4	Mjölner
Metadata/Items/Weapons/OneHandWeapons/OneHandMaces/FourOneHandMace13VerisiumUnique5	Mjölner
Metadata/Items/Weapons/OneHandWeapons/OneHandMaces/FourOneHandMace13VerisiumUnique6	Mjölner
Metadata/Items/Weapons/OneHandWeapons/OneHandMaces/FourOneHandMace14	Sadist's Mercy
Metadata/Items/Weapons/TwoHandWeapons/TwoHandMaces/FourTwoHandMace1	Hoghunt
Metadata/Items/Weapons/TwoHandWeapons/TwoHandMaces/FourTwoHandMace2	Hrimnor's Hymn
Metadata/Items/Weapons/TwoHandWeapons/TwoHandMaces/FourTwoHandMace3	Trephina
Metadata/Items/Weapons/TwoHandWeapons/TwoHandMaces/FourTwoHandMace4	Brain Rattler
Metadata/Items/Weapons/TwoHandWeapons/TwoHandMaces/FourTwoHandMace5	The Empty Roar
Metadata/Items/Weapons/TwoHandWeapons/TwoHandMaces/FourTwoHandMace6	Shyaba
Metadata/Items/Weapons/TwoHandWeapons/TwoHandMaces/FourTwoHandMace7	Chober Chaber
Metadata/Items/Weapons/TwoHandWeapons/TwoHandMaces/FourTwoHandMace8	Quecholli
Metadata/Items/Weapons/TwoHandWeapons/TwoHandMaces/FourTwoHandMace9	Tidebreaker
Metadata/Items/Weapons/TwoHandWeapons/TwoHandMaces/FourTwoHandMace10	Marohi Erqi
Metadata/Items/Weapons/TwoHandWeapons/TwoHandMaces/FourTwoHandMace13	The Hammer of Faith
Metadata/Items/Weapons/OneHandWeapons/OneHandSpears/FourSpear1	Splinter of Loratta
Metadata/Items/Weapons/OneHandWeapons/OneHandSpears/FourSpear2	Tyranny's Grip
Metadata/Items/Weapons/OneHandWeapons/OneHandSpears/FourSpear3	Chainsting
Metadata/Items/Weapons/OneHandWeapons/OneHandSpears/FourSpear4	Skysliver
Metadata/Items/Weapons/OneHandWeapons/OneHandSpears/FourSpear5	Daevata's Wind
Metadata/Items/Weapons/OneHandWeapons/OneHandSpears/FourSpear6	Tangletongue
Metadata/Items/Weapons/OneHandWeapons/OneHandSpears/FourSpear7	Saitha's Spear
Metadata/Items/Weapons/OneHandWeapons/OneHandSpears/FourSpear13	Spire of Ire
Metadata/Items/Weapons/TwoHandWeapons/Staves/FourQuarterstaff1	The Blood Thorn
Metadata/Items/Weapons/TwoHandWeapons/Staves/FourQuarterstaff2	Pillar of the Caged God
Metadata/Items/Weapons/TwoHandWeapons/Staves/FourQuarterstaff3	The Sentry
